Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,Comments
Detection of tremor bursts by a running second order moment function and analysis using interburst histograms,"JournÃ©e, Henricus Louis; Postma, Alida Annechien; Sun, Mingui; Staal, Michiel J.",2008,Medical Engineering & Physics,"Cogwheel phenomenon, EMG burst, Interburst interval histogram, IBIH, Parkinson's disease, Second order moment function, SOMF, Tremor, Time scaling","Cogwheel phenomenon, EMG burst, Interburst interval histogram, IBIH, Parkinson's disease, Second order moment function, SOMF, Tremor, Time scaling",<=10,Laboratory,Diagnosis,"EMG abnormalities,Tremor",BioPotential,,EMG,,j.medengphy.2006.12.005,Research Article,
Kinematic angular parameters in PD: Reliability of joint angle curves and comparison with healthy subjects,"Delval, Arnaud; Salleron, Julia; Bourriez, Jean-Louis; Bleuse, SÃ©verine; Moreau, Caroline; Krystkowiak, Pierre; Defebvre, Luc; Devos, Patrick; Duhamel, Alain",2008,Gait & Posture,"Parkinson's disease, Gait, Reliability, Variability, Bootstrap","Parkinson's disease, Gait, Reliability, Variability, Bootstrap",>30,Laboratory,Diagnosis,Gait,Motion Tracker,,Motion capture,,j.gaitpost.2008.03.003,,
Multiple step pattern as a biomarker in Parkinson disease,"Blekher, Tanya; Weaver, Marjorie; Rupp, Jason; Nichols, William C.; Hui, Siu L.; Gray, Jacqueline; Yee, Robert D.; Wojcieszek, Joanne; Foroud, Tatiana",2009,Parkinsonism & Related Disorders,"Parkinson disease, Saccade, Multiple step pattern","Parkinson disease, Saccade, Multiple step pattern",10<n<=20,Laboratory,Diagnosis,Saccades,Video Recording,,Video camera,,j.parkreldis.2009.01.002,Research Article,
Continuous sleep EEG monitoring in PD patients with and without sleep attacks,"MÃƒÂ¶ller, Jens Carsten; Unger, Miriam; Stiasny-Kolster, Karin; Kaussner, Yvonne; Penzel, Thomas; Oertel, Wolfgang Hermann; Hemmeter, Ulrich",2009,Parkinsonism & Related Disorders,"Sleep attack, Sudden onset of sleep, SOREM, Hypocretin","Sleep attack, Sudden onset of sleep, SOREM, Hypocretin",<=10,Laboratory,Diagnosis,"EEG abnormalities,Sleep topics",BioPotential,,EEG,,j.parkreldis.2008.05.009,Research Article,
Cortical correlates of the basic and first harmonic frequency of Parkinsonian tremor,"Raethjen, Jan; Govindan, R. B.; Muthuraman, M.; Kopper, Florian; Volkmann, Jens; Deuschl, GÃ¼nther",2009,Clinical Neurophysiology,"Parkinson's disease, Tremor, EEG, EMG, Corticomuscular coherence, Delay, First harmonic","Parkinson's disease, Tremor, EEG, EMG, Corticomuscular coherence, Delay, First harmonic",20<n<=30,Laboratory,Diagnosis,"EEG abnormalities,EMG abnormalities",BioPotential,BioPotential,"EEG,EMG",,j.clinph.2009.06.028,Research Article,
128-Channel somatosensory evoked potentials in the differential diagnosis of parkinsonian disorders,"van de Wassenberg, W. J. G.; van der Hoeven, J. H.; Leenders, K. L.; Maurits, N. M.",2009,Parkinsonism & Related Disorders,"Parkinsonian disorders, 128-Channel EEG, Somatosensory evoked potentials, Asymmetry, Differential diagnosis","Parkinsonian disorders, 128-Channel EEG, Somatosensory evoked potentials, Asymmetry, Differential diagnosis",10<n<=20,Laboratory,Diagnosis,EEG abnormalities,BioPotential,,EEG,,j.parkreldis.2009.02.002,Research Article,
Novel parameters of surface EMG in patients with Parkinson's disease and healthy young and old controls,"Meigal, A. I.; Rissanen, S.; Tarvainen, M. P.; Karjalainen, P. A.; Iudina-Vassel, I. A.; Airaksinen, O.; KankaanpÃ¤Ã¤, M.",2009,Journal of Electromyography and Kinesiology,"Parkinson's disease, Surface electromyography, Nonlinear signal analysis","Parkinson's disease, Surface electromyography, Nonlinear signal analysis",10<n<=20,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.jelekin.2008.02.008,Research Article,
Analysis of interactive effect of stretch reflex and shortening reaction on rigidity in Parkinson's disease,"Xia, Ruiping; Sun, Junfeng; Threlkeld, A. Joseph",2009,Clinical Neurophysiology,"Parkinson's disease, Rigidity, Objective rigidity score, Stretch reflex, Shortening reaction, Dopaminergic medication","Parkinson's disease, Rigidity, Objective rigidity score, Stretch reflex, Shortening reaction, Dopaminergic medication",10<n<=20,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.clinph.2009.05.001,Research Article,
Analysis of Dynamic Voluntary Muscle Contractions in Parkinson's Disease,S. M. Rissanen*; M. KankaanpÃƒâ€žÃƒâ€ž; M. P. Tarvainen; A. Y. Meigal; J. Nuutinen; I. M. Tarkka; O. Airaksinen; P. A. Karjalainen,2009,IEEE Transactions on Biomedical Engineering,Discrimination;dynamic contractions;nonlinear methods;Parkinson's disease (PD);surface electromyography (EMG),Discrimination;dynamic contractions;nonlinear methods;Parkinson's disease (PD);surface electromyography (EMG),>30,Laboratory,Diagnosis,EMG abnormalities,BioPotential,Wearable,"EMG,Accelerometer",,tbme.2009.2023795,IEEE Journals & Magazines,
Atypical task-invariant organization of multi-segment tremors in patients with Parkinson's disease during manual tracking,"Wu, Pei-Shan; Lin, Chou-Ching K.; Wang, Chun-Hou; Hwang, Ing-Shiou",2009,Journal of Electromyography and Kinesiology,"Parkinson's disease, Kinetic tremor, Postural tremor, Position tracking, Coherence","Parkinson's disease, Kinetic tremor, Postural tremor, Position tracking, Coherence",<=10,Laboratory,Diagnosis,"Limb movements,Tremor",Wearable,,Accelerometer,5000,j.jelekin.2007.12.003,Research Article,
